"method","N","M","P","execution_time","work_performed"
"SPFA_nospeedup","26","47","4","0.05504892245483398","0.15792358798217773"
"SPFA_nospeedup","37","68","4","0.13013744900512694","0.378826518737793"
"SPFA_nospeedup","159","348","4","15.737495753295898","40.0420653425293"
"SPFA_nospeedup","105","310","4","6.019310939819336","14.511277900878905"
"SPFA_nospeedup","28","50","4","0.0821077956237793","0.2232832908935547"
"SPFA_nospeedup","110","279","4","5.796390214538574","14.41328409741211"
"SPFA_nospeedup","89","184","4","2.5226085443725585","6.410339247558594"
"SPFA_nospeedup","155","338","4","14.464824436035157","36.95761150292969"
"SPFA_nospeedup","118","222","4","5.555175027648926","15.537991059448242"
"SPFA_nospeedup","103","194","4","3.6037358880615233","9.988369493530273"
"SPFA_nospeedup","40","73","4","0.16301791151428222","0.46853254376220704"
"SPFA_nospeedup","101","297","4","5.047164772949219","12.457987982666015"
"SPFA_nospeedup","114","338","4","7.625506559570312","18.696242840576172"
"SPFA_nospeedup","138","298","4","9.774799716064454","26.072572813720704"
"SPFA_nospeedup","52","103","4","0.4417376008911133","1.1885919702148438"
"SPFA_nospeedup","70","141","4","1.167041921508789","3.1460721048583986"
"SPFA_nospeedup","51","109","4","0.4747219284057617","1.309553223022461"
"SPFA_nospeedup","94","243","4","3.5382208908691406","8.794201400146484"
"SPFA_nospeedup","105","197","4","3.7760351543579103","10.500551459228516"
"SPFA_nospeedup","137","293","4","9.273016875366212","23.830322244628906"
"SPFA_nospeedup","165","363","4","17.686747594482423","45.128356203369144"
"SPFA_nospeedup","65","161","4","1.0843228838500976","2.7467105725097656"
"SPFA_nospeedup","141","300","4","10.330833217895508","26.342960603515625"
"SPFA_nospeedup","192","480","4","36.639537466918945","93.53936040625"
"SPFA_nospeedup","47","118","4","0.40117014215087893","1.0212987202148438"
"SPFA_nospeedup","35","74","4","0.17659741046142577","0.4596838818359375"
"SPFA_nospeedup","76","216","4","2.063602281188965","5.087413422485351"
"SPFA_nospeedup","24","42","4","0.04813225888061524","0.13457252947998047"
"SPFA_nospeedup","67","121","4","1.001833771911621","2.4742798127441405"
"SPFA_nospeedup","168","416","4","24.539361018066405","61.4179697265625"
"SPFA_nospeedup","58","162","4","0.9216451087646484","2.2384759122314453"
"SPFA_nospeedup","124","264","4","6.771138974487305","17.530081565917968"
"SPFA_nospeedup","145","361","4","15.926501184692382","39.53926168505859"
